POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
26,6,0.6249999804687506,0.06311637068418861,6.3375,0.32938856015779094,2.666755424063117,6.3375,167,507,1052,7,6.832347140039448
51,31,0.2439024360499703,0.11549295758381274,8.658536585365853,0.48732394366197185,3.65834421161113,8.658536585365853,346,710,1741,3,7.73943661971831
36,23,0.22033897931628849,0.09531502407865101,10.859649122807017,0.5444264943457189,4.561630246861095,10.859649122807017,337,619,1677,13,8.416801292407108
35,73,-0.3518518485939644,0.17910447731491794,11.596153846153847,0.5306799336650083,4.850733511927542,11.596153846153847,320,603,1600,4,8.230514096185738
19,8,0.4074073923182447,0.07714285692244897,8.536585365853659,0.4342857142857143,3.5883484320557493,8.536585365853659,152,350,801,4,7.865714285714286
85,26,0.5315315267429592,0.10735009660797862,11.488888888888889,0.5183752417794971,4.802905652267355,11.488888888888889,536,1034,2674,6,8.238878143133462
28,62,-0.37777777358024694,0.13657056124951356,8.448717948717949,0.4324734446130501,3.5524765573323998,8.448717948717949,285,659,1545,1,7.450682852807284
27,9,0.4999999861111115,0.07515657604351446,9.775510204081632,0.5720250521920668,4.13901410250948,9.775510204081632,274,479,1323,3,8.348643006263048
37,51,-0.1590909072830579,0.14864864839755296,10.206896551724139,0.5574324324324325,4.305731593662628,10.206896551724139,330,592,1605,2,8.27195945945946
125,177,-0.17218542989342572,0.17838157107006403,7.054166666666666,0.5014766686355582,3.02225733412089,7.054166666666666,849,1693,4229,13,8.14825753101004
55,19,0.4864864799123449,0.09426751580348088,11.544117647058824,0.5681528662420382,4.844908205320345,11.544117647058824,446,785,2103,2,8.09171974522293
77,23,0.5399999946,0.11990407659483923,9.586206896551724,0.5179856115107914,4.041677003225007,9.586206896551724,432,834,2155,2,7.918465227817745
38,13,0.49019606881968497,0.17770034781289076,11.48,0.5888501742160279,4.827540069686411,11.48,169,287,762,3,8.128919860627178
18,27,-0.19999999555555567,0.08522727256585744,7.232876712328767,0.4375,3.0681506849315068,7.232876712328767,231,528,1181,3,7.356060606060606
35,26,0.14754098118785278,0.09486780700642643,10.898305084745763,0.4712286158631415,4.547813480243562,10.898305084745763,303,643,1520,5,7.603421461897356
35,26,0.14754098118785278,0.09486780700642643,10.898305084745763,0.4712286158631415,4.547813480243562,10.898305084745763,303,643,1520,5,7.603421461897356
46,11,0.6140350769467531,0.09895833316153067,8.727272727272727,0.4756944444444444,3.6811868686868685,8.727272727272727,274,576,1373,3,7.637152777777778
31,9,0.5499999862500004,0.07194244591377258,11.12,0.48741007194244607,4.642964028776978,11.12,271,556,1363,1,7.766187050359712
57,5,0.8387096638917797,0.07487922696270624,8.625,0.4855072463768116,3.6442028985507253,8.625,402,828,1976,4,7.834541062801932
6,0,0.9999998333333611,0.027649769457835163,7.233333333333333,0.4009216589861751,3.0537019969278036,7.233333333333333,87,217,505,1,7.589861751152074
20,47,-0.40298506861216316,0.13085937474441528,10.24,0.490234375,4.29209375,10.24,251,512,1245,6,7.744140625
12,10,0.09090908677685969,0.12429378460850969,6.103448275862069,0.4124293785310734,2.606351061757257,6.103448275862069,73,177,417,5,7.570621468926554
25,15,0.24999999375000018,0.06768189497854163,9.234375,0.3790186125211506,3.84535744500846,9.234375,224,591,1332,7,7.196277495769881
20,3,0.7391304026465042,0.0812720845184732,11.791666666666666,0.4734982332155477,4.906065959952886,11.791666666666666,134,283,676,1,7.328621908127208
13,10,0.1304347769376184,0.048319327629581243,11.9,0.3172268907563025,4.886890756302521,11.9,151,476,959,3,6.533613445378151
21,15,0.16666666203703717,0.07775377952968947,9.26,0.42548596112311016,3.874194384449244,9.26,197,463,1044,2,7.069114470842333
20,26,-0.13043477977315696,0.08258527812821315,9.946428571428571,0.38420107719928187,4.1322518594511415,9.946428571428571,214,557,1170,18,6.617594254937163
31,22,0.16981131755072987,0.09653916193708714,11.680851063829786,0.4644808743169399,4.858132775258691,11.680851063829786,255,549,1292,7,7.508196721311475
62,32,0.3191489327750114,0.09730848851210301,12.384615384615385,0.4886128364389234,5.149291288421724,12.384615384615385,472,966,2399,1,7.780538302277432
58,37,0.22105262925207758,0.16435986130733587,8.140845070422536,0.3719723183391003,3.4051269555046546,8.140845070422536,215,578,1236,7,7.150519031141869
64,35,0.29292928997041123,0.11899038447236733,9.788235294117648,0.5108173076923077,4.119621040723983,9.788235294117648,425,832,2093,2,7.7608173076923075
61,26,0.402298845950588,0.13488372072111052,7.771084337349397,0.40930232558139534,3.2721546651723177,7.771084337349397,264,645,1457,17,7.362790697674418
